,class_,Address_1,Address_2,use_p,research_date,research,phone_num,C_ad1,C_ad,temp_data,weather_data,rain_data,oz_data
0,회산샘터,37.7379463,128.8694538,50,2019-06-04,적합,033-660-3216,강원도 강릉시청,강원도 강릉시,17,"흐림, 어제보다 4˚ 높아요",0,0.039ppm
1,롯데샘터,37.7411152,128.8710397,120,2019-06-04,적합,033-660-3216,강원도 강릉시청,강원도 강릉시,17,"흐림, 어제보다 4˚ 높아요",0,0.039ppm
2,수성샘터,38.372645,128.456327,120,2018-12-06,적합,033-680-3767,강원도 고성군 상하수도사업소,강원도 고성군,17,"구름많음, 어제보다 6˚ 높아요",0,0.055ppm
3,토골샘터,38.377362,128.462107,80,2018-12-06,적합,033-680-3767,강원도 고성군 상하수도사업소,강원도 고성군,17,"구름많음, 어제보다 6˚ 높아요",0,0.055ppm
4,해맞이봉샘터,38.448909,128.464387,90,2018-12-06,적합,033-680-3767,강원도 고성군 상하수도사업소,강원도 고성군,17,"구름많음, 어제보다 6˚ 높아요",0,0.055ppm
5,행랑골샘터,38.4510706,128.4554209,95,2018-12-06,적합,033-680-3767,강원도 고성군 상하수도사업소,강원도 고성군,17,"구름많음, 어제보다 6˚ 높아요",0,0.055ppm
6,약수암샘터,38.451226,128.454205,55,2019-03-14,적합,033-680-3767,강원도 고성군 상하수도사업소,강원도 고성군,17,"구름많음, 어제보다 6˚ 높아요",0,0.055ppm
7,건봉사샘터,38.4018639,128.3771709,80,2018-12-06,적합,033-680-3767,강원도 고성군 상하수도사업소,강원도 고성군,17,"구름많음, 어제보다 6˚ 높아요",0,0.055ppm
8,옷샘터,38.394745,128.452548,30,2018-12-06,적합,033-680-3767,강원도 고성군 상하수도사업소,강원도 고성군,17,"구름많음, 어제보다 6˚ 높아요",0,0.055ppm
9,작은소골샘터,38.420843,128.459628,50,2018-12-06,적합,033-680-3767,강원도 고성군 상하수도사업소,강원도 고성군,17,"구름많음, 어제보다 6˚ 높아요",0,0.055ppm
10,포남샘터,38.427703,128.439788,0,2018-12-06,적합,033-680-3767,강원도 고성군 상하수도사업소,강원도 고성군,17,"구름많음, 어제보다 6˚ 높아요",0,0.055ppm
11,큰골샘터,38.334022,128.496913,50,2018-12-06,적합,033-680-3767,강원도 고성군 상하수도사업소,강원도 고성군,17,"구름많음, 어제보다 6˚ 높아요",0,0.055ppm
12,양리샘터,37.325307,129.214712,6,2019-02-25,적합,033-570-3829,강원도 삼척시청,강원도 삼척시,16,"흐림, 어제보다 4˚ 높아요",0,0.006ppm
13,신라샘2,38.1750809286,128.5644292337,50,2019-09-06,부적합,033-639-2332,강원도 속초시청,강원도 속초시,17,"구름많음, 어제보다 5˚ 높아요",0,0.019ppm
14,신라샘1,38.1756688475,128.5636107178,50,2019-09-06,부적합,033-639-2332,강원도 속초시청,강원도 속초시,17,"구름많음, 어제보다 5˚ 높아요",0,0.019ppm
15,상복리샘터,38.084508,128.335422,50,2019-07-11,부적합,033-670-2694,강원도 양양군 상하수도사업소,강원도 양양군,16,"구름많음, 어제보다 5˚ 높아요",0,0.047ppm
16,모노골샘터,38.045889,128.360939,150,2019-06-13,적합,033-670-2694,강원도 양양군 상하수도사업소,강원도 양양군,16,"구름많음, 어제보다 5˚ 높아요",0,0.047ppm
17,고치물샘터,38.042347,128.370398,60,2019-07-11,부적합,033-670-2694,강원도 양양군 상하수도사업소,강원도 양양군,16,"구름많음, 어제보다 5˚ 높아요",0,0.047ppm
18,한재샘터,37.595384,128.420071,40,2019-07-11,적합,033-670-2694,강원도 양양군 상하수도사업소,강원도 양양군,16,"구름많음, 어제보다 5˚ 높아요",0,0.047ppm
19,구사샘물,37.1997815,127.871515,100,2019-04-23,적합,033-737-3055,강원도 원주시청,강원도 원주시,13,"구름많음, 어제보다 0˚ 높아요",0,0.003ppm
20,밤나무골샘물,37.3521221,127.9844518,100,2019-04-23,적합,033-737-3055,강원도 원주시청,강원도 원주시,13,"구름많음, 어제보다 0˚ 높아요",0,0.003ppm
21,우두산샘물,37.3806615,127.9324378,100,2019-04-23,적합,033-737-3055,강원도 원주시청,강원도 원주시,13,"구름많음, 어제보다 0˚ 높아요",0,0.003ppm
22,구룡골샘물,37.3826661,127.9625104,150,2019-04-23,적합,033-737-3055,강원도 원주시청,강원도 원주시,13,"구름많음, 어제보다 0˚ 높아요",0,0.003ppm
23,현충탑샘물,37.3649945,127.9516578,200,2019-04-23,적합,033-737-3055,강원도 원주시청,강원도 원주시,13,"구름많음, 어제보다 0˚ 높아요",0,0.003ppm
24,보현사샘물,37.3530662,127.9614641,200,2019-04-23,적합,033-737-3055,강원도 원주시청,강원도 원주시,13,"구름많음, 어제보다 0˚ 높아요",0,0.003ppm
25,국형사샘물,37.3374498,128.0107145,300,2019-04-23,적합,033-737-3055,강원도 원주시청,강원도 원주시,13,"구름많음, 어제보다 0˚ 높아요",0,0.003ppm
26,장수샘,38.1197697,128.2136147924,50,2020-09-30,부적합,033-460-2142,강원도 인제군청,강원도 인제군,9,"구름많음, 어제보다 0˚ 높아요",20,0.015ppm
27,갯골샘,38.06675617,128.160409,100,2020-09-30,부적합,033-460-2142,강원도 인제군청,강원도 인제군,9,"구름많음, 어제보다 0˚ 높아요",20,0.015ppm
28,다라벼루샘,38.0679586,128.1881139862,50,2020-09-30,적합,033-460-2142,강원도 인제군청,강원도 인제군,9,"구름많음, 어제보다 0˚ 높아요",20,0.015ppm
29,정선군 물안이골샘터,37.20673756,128.8440227,50,2017-09-07,부적합,033-560-2529,정선군청,강원도 정선군,11,"흐림, 어제보다 2˚ 높아요",0,0.018ppm
30,정선군 도사곡샘터,37.22405405,128.7990299,50,2017-11-14,적합,033-560-2529,정선군청,강원도 정선군,11,"흐림, 어제보다 2˚ 높아요",0,0.018ppm
31,정선군 거북샘터,37.21296945,128.658878,50,2017-12-12,적합,033-560-2529,정선군청,강원도 정선군,11,"흐림, 어제보다 2˚ 높아요",0,0.018ppm
32,정선군 양지말샘터,37.47248167,128.7328429,50,2017-11-01,부적합,033-560-2529,정선군청,강원도 정선군,11,"흐림, 어제보다 2˚ 높아요",0,0.018ppm
33,정선군 도전,37.4978376,128.9159298,50,2017-12-06,적합,033-560-2529,정선군청,강원도 정선군,11,"흐림, 어제보다 2˚ 높아요",0,0.018ppm
